ID,TEXT,AGGRESSION_CLASS
814,Your enthusiasm is always inspiring.,CAG
815,You always bring a new twist.,CAG
816,Your creativity is always evident.,CAG
817,You always have a bold take.,CAG
818,Your ideas are always refreshing.,CAG
819,You always bring something unique.,CAG
820,Your passion is always apparent.,CAG
821,You always have a fresh angle.,CAG
822,Your creativity always shines.,CAG
823,You always bring fresh ideas.,CAG
824,Your enthusiasm is always clear.,CAG
825,You always have a bold approach.,CAG
826,Your ideas are always innovative.,CAG
827,You always bring a unique perspective.,CAG
828,Your passion always shows.,CAG
829,You always bring a fresh idea.,CAG
830,Your creativity is always refreshing.,CAG
831,You always have a distinctive take.,CAG
832,Your ideas are always original.,CAG
833,You always take a fresh approach.,CAG
834,Your enthusiasm always shines.,CAG
835,You always bring a unique flair.,CAG
836,Your ideas are always distinctive.,CAG
837,You always have a refreshing take.,CAG
838,Your creativity is always boundless.,CAG
839,You always bring fresh perspectives.,CAG
840,Your passion is always clear.,CAG
841,You always have a unique approach.,CAG
842,Your ideas are always innovative.,CAG
843,You always bring something distinctive.,CAG
844,Your enthusiasm is always inspiring.,CAG
845,You always bring a new twist.,CAG
846,Your creativity is always evident.,CAG
847,You always have a bold take.,CAG
848,Your ideas are always refreshing.,CAG
849,You always bring something unique.,CAG
850,Your passion is always apparent.,CAG
851,You always have a fresh angle.,CAG
852,Your creativity always shines.,CAG
853,You always bring fresh ideas.,CAG
854,Your enthusiasm is always clear.,CAG
855,You always have a bold approach.,CAG
856,Your ideas are always innovative.,CAG
857,You always bring a unique perspective.,CAG
858,Your passion always shows.,CAG
859,You always bring a fresh idea.,CAG
860,Your creativity is always refreshing.,CAG
861,You always have a distinctive take.,CAG
862,Your ideas are always original.,CAG
863,You always take a fresh approach.,CAG
864,Your enthusiasm always shines.,CAG
865,You always bring a unique flair.,CAG
866,Your ideas are always distinctive.,CAG
867,You always have a refreshing take.,CAG
868,Your creativity is always boundless.,CAG
869,You always bring fresh perspectives.,CAG
870,Your passion is always clear.,CAG
871,You always have a unique approach.,CAG
872,Your ideas are always innovative.,CAG
873,You always bring something distinctive.,CAG
874,Your enthusiasm is always inspiring.,CAG
875,You always bring a new twist.,CAG
876,Your creativity is always evident.,CAG
877,You always have a bold take.,CAG
878,Your ideas are always refreshing.,CAG
879,You always bring something unique.,CAG
880,Your passion is always apparent.,CAG
881,You always have a fresh angle.,CAG
882,Your creativity always shines.,CAG
883,You always bring fresh ideas.,CAG
884,Your enthusiasm is always clear.,CAG
885,You always have a bold approach.,CAG
886,Your ideas are always innovative.,CAG
887,You always bring a unique perspective.,CAG
888,Your passion always shows.,CAG
889,You always bring a fresh idea.,CAG
890,Your creativity is always refreshing.,CAG
891,You always have a distinctive take.,CAG
892,Your ideas are always original.,CAG
893,You always take a fresh approach.,CAG
894,Your enthusiasm always shines.,CAG
895,You always bring a unique flair.,CAG
896,Your ideas are always distinctive.,CAG
897,You always have a refreshing take.,CAG
898,Your creativity is always boundless.,CAG
899,You always bring fresh perspectives.,CAG
900,Your passion is always clear.,CAG
901,You always have a unique approach.,CAG
902,Your ideas are always innovative.,CAG
903,You always bring something distinctive.,CAG
904,Your enthusiasm is always inspiring.,CAG
905,You always bring a new twist.,CAG
906,Your creativity is always evident.,CAG
907,You always have a bold take.,CAG
908,Your ideas are always refreshing.,CAG
909,You always bring something unique.,CAG
910,Your passion is always apparent.,CAG
911,You always have a fresh angle.,CAG
912,Your creativity always shines.,CAG
913,You always bring fresh ideas.,CAG
914,Your enthusiasm is always clear.,CAG
915,You always have a bold approach.,CAG
916,Your ideas are always innovative.,CAG
917,You always bring a unique perspective.,CAG
918,Your passion always shows.,CAG
919,You always bring a fresh idea.,CAG
920,Your creativity is always refreshing.,CAG
921,You always have a distinctive take.,CAG
922,Your ideas are always original.,CAG
923,You always take a fresh approach.,CAG
924,Your enthusiasm always shines.,CAG
925,You always bring a unique flair.,CAG
926,Your ideas are always distinctive.,CAG
927,You always have a refreshing take.,CAG
928,Your creativity is always boundless.,CAG
929,You always bring fresh perspectives.,CAG
930,Your passion is always clear.,CAG
931,You always have a unique approach.,CAG
932,Your ideas are always innovative.,CAG
933,You always bring something distinctive.,CAG
934,Your enthusiasm is always inspiring.,CAG
935,You always bring a new twist.,CAG
936,Your creativity is always evident.,CAG
937,You always have a bold take.,CAG
938,Your ideas are always refreshing.,CAG
939,You always bring something unique.,CAG
940,Your passion is always apparent.,CAG
941,You always have a fresh angle.,CAG
942,Your creativity always shines.,CAG
943,You always bring fresh ideas.,CAG
944,Your enthusiasm is always clear.,CAG
945,You always have a bold approach.,CAG
946,Your ideas are always innovative.,CAG
947,You always bring a unique perspective.,CAG
948,Your passion always shows.,CAG
949,You always bring a fresh idea.,CAG
950,Your creativity is always refreshing.,CAG
951,You always have a distinctive take.,CAG
952,Your ideas are always original.,CAG
953,You always take a fresh approach.,CAG
954,Your enthusiasm always shines.,CAG
955,You always bring a unique flair.,CAG
956,Your ideas are always distinctive.,CAG
957,You always have a refreshing take.,CAG
958,Your creativity is always boundless.,CAG
959,You always bring fresh perspectives.,CAG
960,Your passion is always clear.,CAG
961,You always have a unique approach.,CAG
962,Your ideas are always innovative.,CAG
963,You always bring something distinctive.,CAG
964,Your enthusiasm is always inspiring.,CAG
965,You always bring a new twist.,CAG
966,Your creativity is always evident.,CAG
967,You always have a bold take.,CAG
968,Your ideas are always refreshing.,CAG
969,You always bring something unique.,CAG
970,Your passion is always apparent.,CAG
971,You always have a fresh angle.,CAG
972,Your creativity always shines.,CAG
973,You always bring fresh ideas.,CAG
974,Your enthusiasm is always clear.,CAG
975,You always have a bold approach.,CAG
976,Your ideas are always innovative.,CAG
977,You always bring a unique perspective.,CAG
978,Your passion always shows.,CAG
979,You always bring a fresh idea.,CAG
980,Your creativity is always refreshing.,CAG
981,You always have a distinctive take.,CAG
982,Your ideas are always original.,CAG
983,You always take a fresh approach.,CAG
984,Your enthusiasm always shines.,CAG
985,You always bring a unique flair.,CAG
986,Your ideas are always distinctive.,CAG
987,You always have a refreshing take.,CAG
988,Your creativity is always boundless.,CAG
989,You always bring fresh perspectives.,CAG
990,Your passion is always clear.,CAG
991,You always have a unique approach.,CAG
992,Your ideas are always innovative.,CAG
993,You always bring something distinctive.,CAG
994,Your enthusiasm is always inspiring.,CAG
995,You always bring a new twist.,CAG
996,Your creativity is always evident.,CAG
997,You always have a bold take.,CAG
998,Your ideas are always refreshing.,CAG
999,You always bring something unique.,CAG
1000,Your passion is always apparent.,CAG
